"11","[('1054', 4.7593664829112514), ('1012', 4.6848752061126939), ('1030', 4.3602270414818989), ('1027', 4.3359152532482028), ('1014', 4.1488058033878827), ('1023', 4.1445884777387771), ('1003', 4.0814409676205168), ('1053', 4.0752445508557003), ('1043', 3.96264601753276), ('1024', 3.9299707587888539)]"
"12","[('1043', 4.751725887693409), ('1000', 4.7110713465411731), ('1027', 4.4315386133907433), ('1023', 4.3155620702720112), ('1013', 4.310246776203325), ('1014', 4.1076714094129052), ('1024', 4.1048532168797163), ('1041', 4.0984409965698765), ('1031', 4.0353366676053239), ('1054', 3.9475957773271926)]"
"13","[('1035', 5), ('1011', 4.8749774737888938), ('1000', 4.8158646614436851), ('1053', 4.7558977833926894), ('1006', 4.2931591662234965), ('1023', 4.262572095913387), ('1032', 4.2487644779892753), ('1027', 4.2376902451147833), ('1046', 4.2226882087656215), ('1008', 4.1901792790238357)]"
"14","[('1030', 4.8913520072322614), ('1000', 4.6235913744642332), ('1041', 4.4343826217709017), ('1052', 4.4047714021958013), ('1020', 4.3687151346061635), ('1002', 4.1669567150412004), ('1003', 4.1531106142245475), ('1012', 4.1428626939884268), ('1010', 4.0784699418403809), ('1033', 3.9839182364971606)]"
"15","[('1020', 4.7451334620418786), ('1048', 4.4620923651598678), ('1016', 4.4117784197108882), ('1014', 4.3366673934650226), ('1011', 4.2427125284622349), ('1035', 4.2421714481834591), ('1026', 4.1138670360557681), ('1039', 3.9549438249301305), ('1033', 3.7935772956070832), ('1025', 3.7827168177880344)]"
"16","[('1016', 4.3789685635803171), ('1010', 4.2441159577468062), ('1045', 4.1432058369364233), ('1034', 4.1060540285642952), ('1056', 4.056756417377585), ('1000', 3.9859070989896503), ('1017', 3.9753937328518245), ('1013', 3.9385316542893714), ('1049', 3.9217659909268057), ('1023', 3.9151499175846505)]"
"17","[('1005', 4.475536127895305), ('1013', 4.2781124014213026), ('1018', 4.2335664210778594), ('1014', 4.2311438604719758), ('1020', 4.1350718508519124), ('1039', 4.0569186533204293), ('1054', 3.9552288791752104), ('1015', 3.9466164265116142), ('1000', 3.9402772858059292), ('1037', 3.916103533175352)]"
"18","[('1039', 4.4474772952519244), ('1042', 4.2345940436919998), ('1046', 4.1270525587797877), ('1056', 4.1196449524934584), ('1035', 4.0782822529363756), ('1041', 4.0615293264565935), ('1049', 4.0056821653268084), ('1000', 4.0039567472513689), ('1013', 3.9591983125699848), ('1008', 3.949364745591478)]"
"19","[('1053', 4.9641251665311552), ('1035', 4.8032538740948105), ('1000', 4.7891045486937314), ('1037', 4.3605378820897389), ('1033', 4.2370561382218606), ('1024', 4.1028282692373477), ('1020', 4.0948018268350106), ('1029', 4.0880093536806523), ('1012', 4.0591753677389928), ('1046', 4.0403754550943685)]"
"20","[('1000', 4.8990062586242118), ('1031', 4.7051649088158243), ('1006', 4.5244032208742775), ('1039', 4.5018518801985739), ('1017', 4.3848654871042507), ('1012', 4.365693557677421), ('1045', 4.3419319469881703), ('1046', 4.2711457464512188), ('1041', 4.2675201265481224), ('1040', 4.2206829496631233)]"
"21","[('1030', 5), ('1027', 4.9139293537615369), ('1011', 4.4472999770707409), ('1020', 4.4411998532365891), ('1041', 4.308036252075067), ('1038', 4.2402075338392926), ('1056', 4.1971652569845617), ('1032', 4.180180739156639), ('1010', 4.1749495945433264), ('1009', 4.1312179410492735)]"
"22","[('1008', 4.9524090002992303), ('1016', 4.3466787050589843), ('1011', 4.2391770033518119), ('1035', 4.1432486808566784), ('1006', 4.1204367238299406), ('1027', 4.0018926926623415), ('1024', 3.9665795386030065), ('1023', 3.877163468839965), ('1001', 3.7424357153541701), ('1021', 3.7022881306515978)]"
